NAME,ID,DESCRIPTION
Applications,,
Application Admin,rudder.app.admin,Grant full access to applications
Application Creator,rudder.app.creator,Grant create access to applications
Application Editor,rudder.app.editor,Grant edit access to application resources
Application Viewer,rudder.app.viewer,grant view access to application resources
Container Admin,rudder.container.admin,Grant full access to application containers
Container Creator,rudder.container.creator,Grant create access to application containers
Container Editor,rudder.container.editor,Grant edit access to application container resources
Container Viewer,rudder.container.viewer,grant view access to application container resources
Container Mount Admin,rudder.mount.admin,Grant full access to container mounts
Container Mount Creator,rudder.mount.creator,Grant create access to container mounts
Container Mount Editor,rudder.mount.editor,Grant edit access to container mount resources
Container Mount Viewer,rudder.mount.viewer,grant view access to container mount resources
Cloud Manager,,
cloudmanager credentials admin,cloudmanager.credentials.admin,grant access to the all features of  cloudmanager credentials as admin
cloudmanager credentials editor,cloudmanager.credentials.editor,grant access to the all features of  cloudmanager credentials as editor
cloudmanager credentials viewer ,cloudmanager.credentials.viewer,grant access to the all features of  cloudmanager credentials as viewer
Configurations,,
Configmap Admin,rudder.config.admin,Grant full access to Configmaps
Configmap Creator,rudder.config.creator,Grant create access to Configmaps
Configmap Editor,rudder.config.editor,Grant edit access to Configmap resources
Configmap Viewer,rudder.config.viewer,grant view access to Configmap resources
Secret Admin,rudder.secret.admin,Grant full access Secrets
Secret Creator,rudder.secret.creator,Grant create access to Secrets
Secret Editor,rudder.secret.editor,Grant edit access to Secret resources
Secret Viewer,rudder.secret.viewer,grant view access to Secret resources
Application Delivery,,
Application Delivery Admin,rudder.delivery.admin,Grant full access to application delivery
Application Delivery Creator,rudder.delivery.creator,Grant create access to application delivery
Application Delivery Editor,rudder.delivery.editor,Grant edit access to application delivery
Application Delivery Viewer,rudder.delivery.viewer,grant view access to application delivery
Environments,,
Environment Admin,rudder.env.admin,Grant full access to Environments
Environment Creator,rudder.env.creator,Grant create access to Environment
Environment Editor,rudder.env.editor,Grant edit access to Environment resources
Environment Cluster Connector,rudder.env.clusterconnector.admin,grant access to connect clusters to an environment
Environment Viewer,rudder.env.viewer,grant view access to Environment resources
Gateways,,
Gateway Admin,rudder.gateway.admin,Grant full access gateways
Gateway Creator,rudder.gateway.creator,Grant create access to gateways
Gateway Editor,rudder.gateway.editor,Grant edit access to gateway resources
Gateway Viewer,rudder.gateway.viewer,grant view access to gateway resources
Clusters,,
cluster admin,mizzen.admin,admin access to clusters and k8s resources
cluster editor,mizzen.editor,edit access to clusters and k8s resources
cluster browser,mizzen.browser,read-only access to clusters and k8s resources (no cluster access ie. serviceaccount)
cluster viewer,mizzen.viewer,read-only access to clusters and k8s resources
Apps,,
application admin,project.app.admin,grant access to all resources in the apps
application editor,organization.app.edit,grant edit access to the aps
application viewer,project.app.view,grant view access to the apps
Operator,,
operator admin,project.operator.admin,grant access to all resources in the project
operator editor,project.operator.edit,grant edit access to all resources in the project
operator viewer,project.operator.view,grant view access to all resources in the project
IAM,project.operator.iam,Access and administer to the project IAM
